"Id","Name","Description","Code","Is Active","Location","EntryStation_Permission_Lot_Rel","lot_location","lot_total_space_count","lot_type_uid","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"21","Central Food Stores","Central Food Stores","400","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7481703758241 39.5095723607217 ,-84.7481703758241 39.5095164876189 ,-84.7473844885828 39.5095020019923 ,-84.7473764419557 39.5095516669852 ,-84.747617840767 39.5095744300951 ,-84.7476795315744 39.5096365112659 ,-84.7478511929513 39.50964271938 ,-84.7478994727136 39.5095764994683 ,-84.7481703758241 39.5095723607217))","","255a28e3-6b2f-4001-bc92-3718c5b07bc0","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"22","Chestnut Fields","Chestnut Fields","418","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7454372048379 39.5001126112853 ,-84.7455418109895 39.5000484519488 ,-84.7456946969034 39.5000422429776 ,-84.7458475828172 39.4999573869825 ,-84.7458931803705 39.4999491083432 ,-84.7459307312967 39.4990694973076 ,-84.7441309690477 39.4990301732602 ,-84.7441202402116 39.5000443126348 ,-84.7444206476213 39.5000484519488 ,-84.744538664818 39.5000505216058 ,-84.744549393654 39.5001043326646 ,-84.7454372048379 39.5001126112853))","","30794165-2ecc-47dc-9b48-e3ed39640656","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"23","Clawson Hall Lot","Clawson Hall Lot","305","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7269492744091 39.5046582529934 ,-84.7268527148846 39.504439711357 ,-84.7267089485469 39.5044860687159 ,-84.7268570065172 39.5046963321643 ,-84.7269492744091 39.5046582529934))","","255a28e3-6b2f-4001-bc92-3718c5b07bc0","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"24","Cole Service Building Lot","Cole Service Building Lot","306","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.727608561516 39.5089370601992 ,-84.72762465477 39.5085293887261 ,-84.7276595234872 39.5084362654652 ,-84.7276648879053 39.5083534891285 ,-84.7276675701143 39.5081134371945 ,-84.7276756167413 39.507987202655 ,-84.7274127602579 39.5078319959398 ,-84.72708016634 39.5078340653649 ,-84.7266671061517 39.5078609678863 ,-84.7265195846559 39.5078630373106 ,-84.7265222668649 39.5079996191773 ,-84.7268414497377 39.5080058274376 ,-84.7268468141557 39.5079768555515 ,-84.7269755601884 39.5079768555515 ,-84.7269997000696 39.507918911743 ,-84.7271311283113 39.507898217514 ,-84.727262556553 39.5079106340522 ,-84.7274127602579 39.5079354671218 ,-84.7275012731554 39.5079665084464 ,-84.7275200486185 39.5080099662774 ,-84.7275093197824 39.508314170334 ,-84.7274959087373 39.5083845302663 ,-84.7274583578111 39.5084631677534 ,-84.7273966670038 39.5084797230025 ,-84.7273939847948 39.5086701080836 ,-84.7273859381677 39.5087880637961 ,-84.7273859381677 39.5088563538539 ,-84.727608561516 39.5089370601992))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"26","Cook Field - East","Cook Field - East","307","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7278821468355 39.5100752166259 ,-84.7279438376428 39.5081920749883 ,-84.7276970744134 39.5082024220599 ,-84.7276863455774 39.5089267132371 ,-84.7276675701143 39.5093157579526 ,-84.7276648879053 39.5094068106566 ,-84.7272223234178 39.5094130187912 ,-84.727251827717 39.5097813671156 ,-84.7276622056962 39.5097917139505 ,-84.7276622056962 39.5100938408487 ,-84.7278821468355 39.5100752166259))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"27","Cook Field - North","Cook Field - North","308","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7280189394952 39.5101869618881 ,-84.7280511260034 39.5103794116407 ,-84.7294297814371 39.5103814809899 ,-84.7294539213182 39.510275944098 ,-84.730135202408 39.5102780134504 ,-84.730140566826 39.5101704070458 ,-84.7280189394952 39.5101869618881))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"28","Cook Field - South","Cook Field - South","309","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7297650575639 39.5081589643491 ,-84.729773104191 39.5081196454446 ,-84.7298455238344 39.5081051595268 ,-84.7298535704614 39.5078961480908 ,-84.729786515236 39.5078878703972 ,-84.729778468609 39.5078526901885 ,-84.7294002771379 39.5078568290375 ,-84.7293198108675 39.5078837315501 ,-84.7293037176134 39.5080306604732 ,-84.7289469838144 39.5080161745368 ,-84.7289201617242 39.5078899398207 ,-84.728705585003 39.5078568290375 ,-84.7281128168108 39.5078464819145 ,-84.727970659733 39.5078485513393 ,-84.7279089689256 39.5079106340522 ,-84.7279465198518 39.5081175760279 ,-84.7281906008722 39.5081299925269 ,-84.7282227873804 39.5080886041884 ,-84.7282817959787 39.5080865347709 ,-84.7282871603967 39.5081382701916 ,-84.7289603948595 39.5081506866869 ,-84.7289818525316 39.5081092983607 ,-84.7290462255479 39.5081030901097 ,-84.7291830182077 39.5081010206926 ,-84.7293224930765 39.5081092983607 ,-84.7293627262117 39.5081092983607 ,-84.7293627262117 39.5081631031799 ,-84.7294646501543 39.5081610337645 ,-84.7294861078264 39.5081279231105 ,-84.7295182943346 39.5081113677776 ,-84.7295477986337 39.5081610337645 ,-84.7297650575639 39.5081589643491))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"29","Cook Field - West","Cook Field - West","310","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7303310036661 39.5101372973493 ,-84.7305214405061 39.5101455747749 ,-84.7305402159692 39.5092888559945 ,-84.7304731607439 39.5092805784669 ,-84.7304785251619 39.509183317443 ,-84.7305482625963 39.5091750399027 ,-84.7305643558504 39.5085066252739 ,-84.7303578257562 39.5085397357474 ,-84.7303310036661 39.5101372973493))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"30","Cook Place","Cook Place","311","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7276487946512 39.5092536764952 ,-84.7276514768602 39.5091936643669 ,-84.7270265221597 39.5091502072761 ,-84.7270292043687 39.5092205663618 ,-84.7276487946512 39.5092536764952))","","2624e91d-ad91-bde6-85ed-0b33d64e95ce","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
"31","Culinary Support Center","Culinary Support Center","419","True","d7d1007c-5c0b-4f24-981b-962389ed173b","EntryStation_Permission_Lot_Rel","Polygon ((-84.7514630555453 39.5062352091265 ,-84.7509652376176 39.5062385202797 ,-84.7509695290866 39.5050200041329 ,-84.7526561022461 39.5050498049793 ,-84.7526561022461 39.5055862194176 ,-84.7513343095126 39.5056325760117 ,-84.7513128518405 39.5058577362711 ,-84.7514759299521 39.5058676697683 ,-84.7514630555453 39.5062352091265))","","85f20ab3-1a03-4478-abf0-394079fad1b6","Permit_Inventory_Series","Personnel_Productivity","Space_Inventory","Zone_Polygons"
